0,84.4,0,84.4
0,93.3,0,93.3
0,82.2,0,82.2
0,95.6,0,95.6
0,86.7,0,86.7
15,93.3,100,86.7
15,88.9,100,88.9
15,88.9,100,86.7
15,77.8,100,88.9
15,82.2,100,88.9
30,82.2,200,84.4
30,86.7,200,86.7
30,86.7,200,91.1
30,84.4,200,91.1
30,82.2,200,86.7
45,75.6,300,82.2
45,82.2,300,75.6
45,82.2,300,77.8
45,82.2,300,91.1
45,80.0,300,86.7
60,68.9,400,62.2
60,66.7,400,66.7
60,64.4,400,80.0
60,71.1,400,68.9
60,75.6,400,73.3
75,62.2,500,33.3
75,57.8,500,51.1
75,68.9,500,33.3
75,55.6,500,0.0
75,60.0,500,33.3
